epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4196,5.42497,178.257,3.9473,0,0,0,0,3.17527,67.2828,2.15586,0.000544553,0.000544553,0.000544553
2,59.0372,2.81081,7.18407,1.65915,7e-05,0.01689,4e-05,2e-05,3.22776,3.18341,2.12484,0.00108933,0.00108933,0.00108933
3,86.0716,2.19488,2.7782,1.09601,0.54009,0.625,0.55258,0.20253,2.15285,1.67988,1.07033,0.0016231,0.0016231,0.0016231
4,112.871,1.94888,1.8974,1.047,0.59221,0.50004,0.47921,0.21782,2.20106,1.614,1.06812,0.00161749,0.00161749,0.00161749
5,139.402,1.78684,1.40902,0.99684,0.65194,0.38402,0.40587,0.19566,2.12436,1.73043,1.06396,0.00160099,0.00160099,0.00160099
6,165.667,1.71697,1.16372,0.97412,0.91238,0.88075,0.93862,0.48591,1.79253,0.83134,0.95931,0.00158448,0.00158448,0.00158448
7,191.672,1.60659,1.00638,0.95525,0.87089,0.85411,0.92403,0.45887,1.78274,0.89375,0.96063,0.00156798,0.00156798,0.00156798
8,217.646,1.55674,0.90743,0.95338,0.72279,0.79077,0.80399,0.39007,1.91258,1.2764,0.98738,0.00155148,0.00155148,0.00155148
9,243.554,1.48944,0.82788,0.93357,0.92253,0.89454,0.95673,0.5099,1.67068,0.76838,0.96401,0.00153497,0.00153497,0.00153497
10,270.036,1.43051,0.76952,0.93634,0.89796,0.91224,0.93347,0.43122,1.72683,0.91492,0.93773,0.00151847,0.00151847,0.00151847
11,296.382,1.39417,0.73906,0.93154,0.88812,0.91774,0.95322,0.5506,1.52958,0.7751,0.91308,0.00150197,0.00150197,0.00150197
12,322.283,1.39112,0.72966,0.91635,0.8539,0.37884,0.55212,0.29193,1.85865,1.91907,1.01148,0.00148546,0.00148546,0.00148546
13,348.528,1.34331,0.70698,0.91268,0.8849,0.90707,0.96677,0.57864,1.48425,0.71015,0.93317,0.00146896,0.00146896,0.00146896
14,374.55,1.28954,0.65928,0.89915,0.89583,0.8391,0.91738,0.44742,1.86182,1.06223,0.98147,0.00145246,0.00145246,0.00145246
15,400.777,1.31707,0.6854,0.9008,0.90046,0.90544,0.96549,0.6299,1.34053,0.63327,0.89748,0.00143595,0.00143595,0.00143595
16,426.989,1.30135,0.64057,0.89631,0.90396,0.90251,0.95134,0.61668,1.34139,0.83846,0.9028,0.00141945,0.00141945,0.00141945
17,452.796,1.27528,0.6286,0.90105,0.82933,0.83149,0.93516,0.61508,1.3132,0.88986,0.89315,0.00140295,0.00140295,0.00140295
18,478.805,1.22805,0.60492,0.88453,0.9732,0.95373,0.98438,0.62783,1.30022,0.55038,0.88639,0.00138644,0.00138644,0.00138644
19,505.347,1.24126,0.61989,0.89528,0.89844,0.94866,0.96631,0.65506,1.24338,0.59861,0.88668,0.00136994,0.00136994,0.00136994
20,531.488,1.22461,0.60813,0.88934,0.88241,0.89216,0.95185,0.49332,1.7343,0.94117,0.91965,0.00135344,0.00135344,0.00135344
21,557.566,1.22482,0.58878,0.88867,0.94675,0.94218,0.98596,0.687,1.20214,0.53604,0.88476,0.00133693,0.00133693,0.00133693
22,583.666,1.18359,0.56818,0.87067,0.95135,0.95702,0.97888,0.67951,1.1715,0.54792,0.88705,0.00132043,0.00132043,0.00132043
23,609.833,1.15237,0.55979,0.87267,0.92466,0.92844,0.97254,0.5739,1.54058,0.62968,0.93027,0.00130393,0.00130393,0.00130393
24,635.953,1.17972,0.56561,0.87546,0.93036,0.95276,0.98765,0.68301,1.24429,0.58609,0.88034,0.00128742,0.00128742,0.00128742
25,661.792,1.14913,0.55691,0.87701,0.9529,0.96969,0.98546,0.62084,1.35796,0.58247,0.89891,0.00127092,0.00127092,0.00127092
26,687.636,1.12577,0.53953,0.87158,0.87792,0.78143,0.92155,0.61125,1.27502,0.91795,0.89336,0.00125442,0.00125442,0.00125442
27,713.272,1.18129,0.56312,0.87695,0.89639,0.75593,0.88584,0.49118,1.63473,1.26535,0.92645,0.00123791,0.00123791,0.00123791
28,738.818,1.12404,0.54104,0.86953,0.94052,0.65586,0.856,0.55051,1.49629,1.60164,0.90719,0.00122141,0.00122141,0.00122141
29,764.596,1.0837,0.52551,0.86622,0.97251,0.98471,0.99139,0.67223,1.2229,0.52206,0.87672,0.00120491,0.00120491,0.00120491
30,790.298,1.1033,0.53034,0.85932,0.8841,0.83306,0.96972,0.63549,1.29608,0.97225,0.87562,0.0011884,0.0011884,0.0011884
31,816.039,1.0895,0.51343,0.85762,0.89073,0.90064,0.97555,0.66205,1.23897,0.6936,0.87726,0.0011719,0.0011719,0.0011719
32,841.887,1.10108,0.51755,0.86835,0.96606,0.96879,0.99134,0.65832,1.27534,0.5052,0.88588,0.0011554,0.0011554,0.0011554
33,867.714,1.09504,0.50845,0.86425,0.974,0.96749,0.9914,0.69714,1.13791,0.48748,0.87441,0.00113889,0.00113889,0.00113889
34,893.568,1.08114,0.50707,0.85514,0.98266,0.97492,0.99304,0.67859,1.22254,0.48832,0.87406,0.00112239,0.00112239,0.00112239
35,919.756,1.07057,0.51158,0.86013,0.97078,0.96699,0.98457,0.61082,1.36107,0.56214,0.88337,0.00110589,0.00110589,0.00110589
36,946.481,1.05845,0.49997,0.85332,0.94466,0.93846,0.98491,0.67097,1.27705,0.54259,0.88674,0.00108938,0.00108938,0.00108938
37,972.661,1.0563,0.49499,0.85667,0.89524,0.81815,0.93861,0.61601,1.2663,0.94902,0.88721,0.00107288,0.00107288,0.00107288
38,998.994,1.05454,0.49469,0.85519,0.87706,0.77206,0.93691,0.58528,1.40919,1.05538,0.88799,0.00105638,0.00105638,0.00105638
39,1025.25,1.05408,0.48795,0.85721,0.96372,0.98177,0.99079,0.66751,1.16536,0.46014,0.86862,0.00103987,0.00103987,0.00103987
40,1051.34,1.05142,0.48334,0.85654,0.97124,0.97628,0.99104,0.67697,1.2305,0.50094,0.87326,0.00102337,0.00102337,0.00102337
41,1077.39,1.04369,0.48227,0.85397,0.96113,0.94399,0.98625,0.63855,1.24321,0.6511,0.88225,0.00100687,0.00100687,0.00100687
42,1103.89,1.026,0.48376,0.85392,0.9786,0.98114,0.99311,0.73869,1.05522,0.47573,0.85948,0.000990365,0.000990365,0.000990365
43,1130.38,1.00917,0.4735,0.84572,0.96718,0.98307,0.99171,0.67533,1.17947,0.46164,0.86602,0.000973861,0.000973861,0.000973861
44,1156.48,1.00164,0.46708,0.84648,0.9778,0.97888,0.99315,0.73368,1.09482,0.44876,0.85994,0.000957358,0.000957358,0.000957358
45,1182.77,1.00897,0.46447,0.84939,0.87289,0.77151,0.87767,0.52233,1.56499,1.25047,0.90389,0.000940855,0.000940855,0.000940855
46,1208.8,1.00031,0.45993,0.84581,0.98394,0.98169,0.99207,0.7229,1.03996,0.42433,0.86096,0.000924352,0.000924352,0.000924352
47,1234.74,1.01508,0.46957,0.84315,0.98558,0.99476,0.99438,0.76046,0.98342,0.40749,0.84652,0.000907848,0.000907848,0.000907848
48,1260.86,0.97044,0.44814,0.83942,0.93683,0.90739,0.97982,0.66116,1.23755,0.54433,0.88425,0.000891345,0.000891345,0.000891345
49,1286.69,0.9772,0.45427,0.8493,0.98315,0.99286,0.99362,0.74197,1.03589,0.42944,0.85371,0.000874842,0.000874842,0.000874842
50,1312.48,0.99101,0.46424,0.84368,0.96767,0.99065,0.99216,0.74922,1.01994,0.4407,0.85716,0.000858338,0.000858338,0.000858338
51,1338.02,0.96427,0.45364,0.84715,0.97121,0.9554,0.99074,0.67215,1.21906,0.4819,0.87404,0.000841835,0.000841835,0.000841835
52,1363.45,0.97705,0.45656,0.84725,0.97945,0.98627,0.99109,0.6974,1.1569,0.48316,0.86884,0.000825332,0.000825332,0.000825332
