epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.833,1.72332,3.944,0.77916,0.95522,0.95531,0.98582,0.61475,1.44576,0.63137,0.73499,0.00339744,0.00339744,0.00339744
2,211.014,1.70072,0.73493,0.77947,0.96237,0.95031,0.97927,0.53444,1.67295,0.68015,0.76704,0.00678841,0.00678841,0.00678841
3,317.685,1.77239,0.75319,0.79352,0.9268,0.92664,0.95251,0.53909,1.64672,0.74073,0.7641,0.00993396,0.00993396,0.00993396
4,424.411,1.69708,0.70708,0.78671,0.5978,0.72393,0.77359,0.37713,1.98063,1.37455,0.80756,0.00990094,0.00990094,0.00990094
5,530.812,1.53129,0.63088,0.77159,0.96563,0.952,0.97817,0.65591,1.29376,0.57312,0.73871,0.00986792,0.00986792,0.00986792
6,636.05,1.43852,0.58249,0.76096,0.96033,0.95647,0.98778,0.61047,1.46598,0.56895,0.7569,0.0098349,0.0098349,0.0098349
7,741.697,1.37964,0.55848,0.75763,0.96514,0.96874,0.99306,0.67362,1.36064,0.56065,0.75004,0.00980188,0.00980188,0.00980188
8,847.05,1.3282,0.53858,0.75052,0.97041,0.95986,0.99022,0.68519,1.2623,0.50825,0.74074,0.00976886,0.00976886,0.00976886
9,952.299,1.29773,0.52125,0.74817,0.95842,0.96222,0.98952,0.66327,1.33462,0.52564,0.74323,0.00973585,0.00973585,0.00973585
10,1057.25,1.26025,0.50753,0.74239,0.96108,0.9475,0.98291,0.56813,1.6246,0.5836,0.76698,0.00970283,0.00970283,0.00970283
11,1162.27,1.24466,0.49793,0.74258,0.98134,0.97075,0.99364,0.715,1.16327,0.44946,0.72846,0.00966981,0.00966981,0.00966981
12,1266.89,1.22287,0.4899,0.74126,0.98161,0.98397,0.99379,0.7273,1.12547,0.46026,0.72686,0.00963679,0.00963679,0.00963679
13,1373.41,1.19917,0.4823,0.73727,0.97941,0.968,0.9928,0.71847,1.16691,0.4464,0.73365,0.00960377,0.00960377,0.00960377
14,1481.33,1.18539,0.47674,0.73695,0.95902,0.9545,0.98308,0.65972,1.37651,0.47958,0.75545,0.00957075,0.00957075,0.00957075
15,1588.42,1.15634,0.46607,0.73476,0.98647,0.9615,0.99335,0.74987,1.05345,0.40187,0.7247,0.00953773,0.00953773,0.00953773
16,1694.58,1.14547,0.46002,0.73365,0.97293,0.98235,0.99362,0.74135,1.07909,0.43159,0.72533,0.00950471,0.00950471,0.00950471
17,1799.78,1.14307,0.45714,0.73205,0.99352,0.98305,0.99468,0.76477,1.00948,0.40088,0.71651,0.00947169,0.00947169,0.00947169
18,1904.65,1.13147,0.45236,0.7318,0.9859,0.97728,0.994,0.75871,1.01222,0.39873,0.7186,0.00943867,0.00943867,0.00943867
