epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1772,1.67121,10.3216,0.91258,0.75971,0.54158,0.59904,0.22912,1.89251,5.88816,0.91926,0.000544327,0.000544327,0.000544327
2,53.5082,1.54904,1.08542,0.9061,0.27536,0.24427,0.16482,0.0638,2.05223,3.86961,1.00522,0.0010891,0.0010891,0.0010891
3,78.7773,1.54253,0.85763,0.92401,0.60456,0.00286,0.00126,0.00072,3.66208,5.83283,1.62775,0.00162288,0.00162288,0.00162288
4,104.37,1.49563,0.81312,0.92016,0.47432,0.41318,0.33099,0.15684,1.79636,2.50637,0.96861,0.00161749,0.00161749,0.00161749
5,129.755,1.46423,0.75446,0.90567,0.78669,0.64928,0.76017,0.37127,1.78271,1.34852,0.92802,0.00160099,0.00160099,0.00160099
6,155.857,1.382,0.71401,0.89575,0.938,0.93481,0.97452,0.58111,1.47923,0.71182,0.8927,0.00158448,0.00158448,0.00158448
7,181.989,1.34166,0.66374,0.878,0.94358,0.92529,0.97206,0.5741,1.35187,0.67002,0.86979,0.00156798,0.00156798,0.00156798
8,208.43,1.2693,0.64338,0.8763,0.86551,0.87691,0.93799,0.54332,1.45488,0.69838,0.88772,0.00155148,0.00155148,0.00155148
9,234.515,1.31384,0.63716,0.8744,0.91092,0.78773,0.9408,0.57272,1.41676,0.73491,0.8758,0.00153497,0.00153497,0.00153497
10,260.366,1.24744,0.62286,0.86549,0.88071,0.8504,0.94324,0.53231,1.50301,0.70395,0.88047,0.00151847,0.00151847,0.00151847
11,286.061,1.20989,0.59876,0.86615,0.91296,0.82951,0.94363,0.53589,1.43365,0.73008,0.89492,0.00150197,0.00150197,0.00150197
12,311.771,1.23304,0.60474,0.86455,0.92083,0.95752,0.97369,0.61417,1.33848,0.58492,0.87764,0.00148546,0.00148546,0.00148546
13,337.895,1.18353,0.58068,0.85766,0.83847,0.67538,0.77089,0.41163,1.48089,0.89906,0.88685,0.00146896,0.00146896,0.00146896
14,363.593,1.18507,0.56734,0.85514,0.96938,0.94994,0.98487,0.60228,1.3266,0.6199,0.86632,0.00145246,0.00145246,0.00145246
15,389.337,1.15278,0.56798,0.85044,0.91933,0.93256,0.97771,0.67464,1.22957,0.53751,0.85048,0.00143595,0.00143595,0.00143595
16,415.424,1.1302,0.55492,0.85145,0.92725,0.94181,0.98009,0.63206,1.26257,0.54022,0.86254,0.00141945,0.00141945,0.00141945
17,441.492,1.12832,0.54775,0.8425,0.92028,0.89139,0.96217,0.61629,1.29477,0.56897,0.86392,0.00140295,0.00140295,0.00140295
18,467.479,1.10042,0.53664,0.84375,0.96657,0.98492,0.98976,0.67857,1.1564,0.52696,0.84187,0.00138644,0.00138644,0.00138644
19,493.605,1.08319,0.52633,0.84472,0.87671,0.81735,0.94519,0.60902,1.34259,0.64135,0.8576,0.00136994,0.00136994,0.00136994
20,519.582,1.11008,0.53274,0.84421,0.90915,0.75518,0.92822,0.57373,1.19333,0.6228,0.85394,0.00135344,0.00135344,0.00135344
21,545.465,1.08866,0.51582,0.84389,0.77904,0.76866,0.86747,0.51383,1.42698,0.75147,0.87905,0.00133693,0.00133693,0.00133693
22,570.828,1.0552,0.51493,0.84071,0.96262,0.98375,0.99088,0.70746,1.07945,0.51684,0.83686,0.00132043,0.00132043,0.00132043
23,596.316,1.05031,0.51621,0.84017,0.96303,0.93249,0.9821,0.67276,1.06342,0.72101,0.83713,0.00130393,0.00130393,0.00130393
24,621.595,1.02748,0.49438,0.84055,0.88165,0.77721,0.92213,0.61249,1.24783,0.71674,0.84938,0.00128742,0.00128742,0.00128742
25,647.034,1.04425,0.51104,0.84006,0.96675,0.93579,0.98756,0.68195,1.20282,0.48835,0.85016,0.00127092,0.00127092,0.00127092
26,672.285,1.02379,0.49098,0.83446,0.95372,0.96596,0.98881,0.6543,1.22454,0.5122,0.85528,0.00125442,0.00125442,0.00125442
27,697.555,1.02239,0.49183,0.83184,0.94547,0.98199,0.98903,0.69922,1.11005,0.51303,0.83963,0.00123791,0.00123791,0.00123791
28,723.029,0.99875,0.48199,0.8329,0.90961,0.90589,0.9721,0.62895,1.34781,0.57683,0.85545,0.00122141,0.00122141,0.00122141
29,748.46,1.00507,0.48157,0.83114,0.96896,0.95333,0.98855,0.6806,1.19594,0.71085,0.8465,0.00120491,0.00120491,0.00120491
30,774.471,1.00352,0.4791,0.82927,0.94988,0.92012,0.98259,0.64727,1.25508,0.53928,0.86258,0.0011884,0.0011884,0.0011884
31,800.636,0.99454,0.47263,0.83229,0.95634,0.951,0.98684,0.68492,1.07148,0.51995,0.8437,0.0011719,0.0011719,0.0011719
32,826.33,0.98288,0.47326,0.83223,0.98114,0.98565,0.99162,0.71708,1.11461,0.45195,0.83003,0.0011554,0.0011554,0.0011554
33,851.81,0.96864,0.45993,0.83146,0.98214,0.9728,0.99137,0.67723,1.22425,0.51438,0.85522,0.00113889,0.00113889,0.00113889
34,877.031,0.98099,0.47544,0.83229,0.9767,0.98938,0.99373,0.72206,1.09884,0.50211,0.83828,0.00112239,0.00112239,0.00112239
35,902.824,0.96755,0.46468,0.82583,0.98397,0.96003,0.99196,0.70316,1.06432,0.47387,0.83489,0.00110589,0.00110589,0.00110589
36,928.351,0.95742,0.45955,0.82471,0.7821,0.8027,0.85174,0.56928,1.18258,0.84682,0.85737,0.00108938,0.00108938,0.00108938
37,953.982,0.946,0.45083,0.82434,0.94989,0.95507,0.98623,0.72055,1.18129,0.4932,0.84598,0.00107288,0.00107288,0.00107288
38,979.246,0.96123,0.45701,0.82634,0.98285,0.98205,0.99298,0.73646,1.06002,0.43758,0.84,0.00105638,0.00105638,0.00105638
39,1004.89,0.94577,0.44676,0.82653,0.94647,0.92785,0.98624,0.65193,1.2052,0.48668,0.84701,0.00103987,0.00103987,0.00103987
40,1030.19,0.93,0.4397,0.82391,0.97049,0.9782,0.99233,0.7105,1.23637,0.48161,0.8506,0.00102337,0.00102337,0.00102337
41,1055.66,0.95399,0.45502,0.82327,0.92273,0.9146,0.98353,0.70769,1.0594,0.49438,0.83489,0.00100687,0.00100687,0.00100687
42,1080.8,0.93754,0.44011,0.82622,0.98289,0.97142,0.99125,0.71485,1.10245,0.56087,0.84281,0.000990365,0.000990365,0.000990365
43,1106.05,0.92455,0.43164,0.82055,0.87633,0.92278,0.97541,0.67559,1.14676,0.57285,0.84692,0.000973861,0.000973861,0.000973861
44,1131.32,0.93745,0.44299,0.82526,0.98313,0.96813,0.99186,0.69591,1.05376,0.46541,0.8358,0.000957358,0.000957358,0.000957358
45,1156.66,0.93105,0.4389,0.82146,0.98559,0.98425,0.99378,0.76147,1.01945,0.43505,0.82257,0.000940855,0.000940855,0.000940855
46,1182.35,0.90707,0.42677,0.81803,0.9158,0.84668,0.94034,0.67097,1.15411,0.54638,0.83731,0.000924352,0.000924352,0.000924352
47,1207.86,0.92188,0.43114,0.82411,0.956,0.88405,0.98205,0.71807,1.07808,0.47759,0.83201,0.000907848,0.000907848,0.000907848
48,1233.42,0.89445,0.42594,0.82499,0.9792,0.98801,0.99372,0.73169,1.06826,0.42103,0.83705,0.000891345,0.000891345,0.000891345
49,1258.89,0.91642,0.42923,0.81957,0.96892,0.98091,0.99251,0.7385,1.02491,0.43108,0.83246,0.000874842,0.000874842,0.000874842
50,1284.69,0.89444,0.41645,0.81857,0.74062,0.83219,0.86649,0.54494,1.39681,0.82869,0.88327,0.000858338,0.000858338,0.000858338
51,1310.56,0.90217,0.42462,0.81177,0.93026,0.87137,0.96832,0.68026,1.19858,0.60742,0.84346,0.000841835,0.000841835,0.000841835
52,1336.3,0.88798,0.42345,0.821,0.96863,0.97566,0.99318,0.71314,1.18006,0.45126,0.838,0.000825332,0.000825332,0.000825332
53,1362.44,0.87329,0.41042,0.81473,0.95419,0.93447,0.98754,0.73969,0.9878,0.44142,0.83181,0.000808828,0.000808828,0.000808828
54,1392.08,0.88831,0.41493,0.82243,0.98054,0.98411,0.99272,0.73205,1.01053,0.43356,0.82854,0.000792325,0.000792325,0.000792325
55,1417.73,0.86434,0.4065,0.81105,0.97878,0.96708,0.99334,0.76619,0.99076,0.42953,0.82658,0.000775822,0.000775822,0.000775822
56,1443.88,0.87429,0.40965,0.81512,0.98758,0.97913,0.99384,0.77062,0.92938,0.40396,0.82792,0.000759318,0.000759318,0.000759318
57,1469.91,0.85996,0.40057,0.81315,0.96907,0.92105,0.98943,0.7123,1.00686,0.43437,0.83538,0.000742815,0.000742815,0.000742815
58,1495.46,0.86589,0.40168,0.81625,0.9687,0.92011,0.98827,0.71119,1.04731,0.44265,0.83815,0.000726312,0.000726312,0.000726312
59,1521.53,0.85712,0.39989,0.81488,0.98904,0.98051,0.99406,0.76162,0.89208,0.39995,0.82078,0.000709809,0.000709809,0.000709809
60,1547.34,0.84748,0.40053,0.8094,0.97226,0.96887,0.99158,0.68604,1.14259,0.45646,0.84773,0.000693305,0.000693305,0.000693305
61,1573.34,0.84392,0.39519,0.81207,0.81684,0.94417,0.95637,0.66171,1.22553,0.60632,0.85641,0.000676802,0.000676802,0.000676802
62,1598.83,0.85954,0.39989,0.8153,0.98091,0.98355,0.99298,0.77264,1.03463,0.42829,0.82347,0.000660299,0.000660299,0.000660299
63,1625.02,0.8299,0.3899,0.80764,0.97228,0.9587,0.99089,0.69869,1.19268,0.45996,0.84114,0.000643795,0.000643795,0.000643795
64,1650.63,0.85646,0.39822,0.80888,0.99013,0.98945,0.99422,0.77083,1.02161,0.40975,0.8221,0.000627292,0.000627292,0.000627292
65,1675.88,0.85283,0.39667,0.81469,0.97372,0.97234,0.99244,0.73067,1.06901,0.4259,0.83445,0.000610789,0.000610789,0.000610789
66,1701.15,0.8234,0.3909,0.80616,0.98617,0.9824,0.99321,0.71556,1.09747,0.41862,0.83074,0.000594286,0.000594286,0.000594286
67,1726.29,0.83347,0.38749,0.81019,0.98964,0.99058,0.99465,0.7795,0.8611,0.37256,0.81882,0.000577782,0.000577782,0.000577782
68,1751.92,0.81684,0.38277,0.80565,0.98916,0.9919,0.99322,0.75117,0.95472,0.41743,0.82569,0.000561279,0.000561279,0.000561279
69,1777.43,0.82065,0.38548,0.80988,0.98948,0.98578,0.99403,0.78431,0.86048,0.37242,0.81357,0.000544776,0.000544776,0.000544776
70,1802.87,0.81728,0.37921,0.81111,0.99279,0.98757,0.9942,0.78052,0.89513,0.3735,0.8197,0.000528272,0.000528272,0.000528272
71,1828.27,0.81116,0.37576,0.80847,0.9902,0.98513,0.9944,0.77659,0.89919,0.38321,0.82282,0.000511769,0.000511769,0.000511769
72,1853.41,0.79272,0.37026,0.80893,0.99238,0.98513,0.99446,0.79968,0.84657,0.36013,0.81482,0.000495266,0.000495266,0.000495266
73,1878.79,0.80527,0.37653,0.8033,0.99282,0.98228,0.99436,0.74987,0.97762,0.40242,0.82708,0.000478762,0.000478762,0.000478762
74,1904.18,0.79667,0.37079,0.80868,0.98795,0.98858,0.99444,0.78335,0.84029,0.37425,0.81925,0.000462259,0.000462259,0.000462259
75,1929.69,0.79632,0.36533,0.81013,0.98629,0.98797,0.99403,0.76764,0.95195,0.38104,0.82287,0.000445756,0.000445756,0.000445756
76,1954.95,0.78893,0.37003,0.80598,0.98238,0.9738,0.9938,0.75875,0.88943,0.37845,0.82255,0.000429253,0.000429253,0.000429253
77,1980.39,0.79938,0.37077,0.80818,0.99468,0.99349,0.99478,0.79662,0.84148,0.3716,0.81424,0.000412749,0.000412749,0.000412749
78,2005.82,0.79186,0.36473,0.80358,0.99183,0.98844,0.99462,0.78681,0.89168,0.36294,0.81542,0.000396246,0.000396246,0.000396246
79,2031.41,0.7971,0.36755,0.80545,0.99309,0.99143,0.99457,0.79378,0.85,0.36168,0.81479,0.000379743,0.000379743,0.000379743
80,2057.04,0.76736,0.35213,0.8045,0.98641,0.98709,0.99465,0.80566,0.8206,0.35043,0.81245,0.000363239,0.000363239,0.000363239
81,2082.63,0.78647,0.3592,0.80788,0.99137,0.99071,0.99449,0.7869,0.86474,0.34912,0.81541,0.000346736,0.000346736,0.000346736
82,2107.62,0.7796,0.35777,0.80586,0.99217,0.98888,0.99432,0.78002,0.85984,0.36186,0.81903,0.000330233,0.000330233,0.000330233
83,2132.88,0.7721,0.35383,0.80371,0.99712,0.99355,0.99483,0.7961,0.87384,0.36066,0.81334,0.000313729,0.000313729,0.000313729
84,2158.08,0.77521,0.35346,0.80699,0.99748,0.98962,0.99471,0.7844,0.91088,0.37436,0.81974,0.000297226,0.000297226,0.000297226
85,2183.58,0.76405,0.3461,0.80068,0.99465,0.99304,0.99478,0.79606,0.82662,0.35788,0.8122,0.000280723,0.000280723,0.000280723
86,2208.89,0.75516,0.34625,0.80287,0.99557,0.99019,0.99468,0.79402,0.85664,0.3619,0.81503,0.00026422,0.00026422,0.00026422
87,2234.12,0.75708,0.34726,0.80115,0.99566,0.98704,0.99452,0.77207,0.86743,0.36277,0.81913,0.000247716,0.000247716,0.000247716
88,2259.72,0.75465,0.34659,0.80251,0.99423,0.9909,0.99466,0.78784,0.89651,0.36167,0.81444,0.000231213,0.000231213,0.000231213
89,2285.37,0.74331,0.34127,0.80056,0.99486,0.99116,0.99467,0.79732,0.8659,0.35822,0.81511,0.00021471,0.00021471,0.00021471
90,2310.78,0.74311,0.33954,0.79776,0.99613,0.99178,0.99456,0.80448,0.8639,0.35522,0.8127,0.000198206,0.000198206,0.000198206
91,2338.42,0.73812,0.34381,0.80247,0.99562,0.98812,0.99464,0.78854,0.89448,0.35861,0.81747,0.000181703,0.000181703,0.000181703
92,2362.99,0.71776,0.33439,0.80872,0.98837,0.99361,0.99468,0.79727,0.88942,0.35876,0.81277,0.0001652,0.0001652,0.0001652
93,2387.87,0.71787,0.33135,0.80018,0.9923,0.99036,0.99467,0.79043,0.83413,0.35985,0.81444,0.000148696,0.000148696,0.000148696
94,2413.19,0.71107,0.32761,0.79951,0.99391,0.99029,0.99462,0.79769,0.8152,0.35777,0.81075,0.000132193,0.000132193,0.000132193
95,2438.6,0.70735,0.33172,0.79677,0.99154,0.99143,0.99463,0.80046,0.8044,0.34137,0.81359,0.00011569,0.00011569,0.00011569
96,2463.87,0.70657,0.32609,0.79943,0.996,0.99286,0.99475,0.80095,0.80839,0.34705,0.81129,9.91865e-05,9.91865e-05,9.91865e-05
97,2489.03,0.70148,0.32431,0.79633,0.99402,0.99059,0.99454,0.79446,0.83346,0.34587,0.81205,8.26832e-05,8.26832e-05,8.26832e-05
98,2514.29,0.69551,0.31922,0.80056,0.99659,0.99005,0.9946,0.79963,0.83451,0.33513,0.81083,6.61799e-05,6.61799e-05,6.61799e-05
99,2539.61,0.68683,0.31876,0.7967,0.99422,0.99286,0.99461,0.79771,0.8289,0.33864,0.81356,4.96766e-05,4.96766e-05,4.96766e-05
100,2565.02,0.69059,0.31359,0.80492,0.99675,0.99267,0.99467,0.80023,0.83215,0.33764,0.8115,3.31733e-05,3.31733e-05,3.31733e-05
