epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3316.64,0.91039,0.4125,0.83675,0.54913,0.737,0.66999,0.50359,1.08261,2.22423,0.81487,0.005743,0.005743,0.005743
45,3390.48,0.91106,0.40925,0.83347,0.56566,0.672,0.66816,0.49869,1.06791,2.29286,0.8141,0.005644,0.005644,0.005644
46,3464.03,0.90541,0.40365,0.83161,0.53651,0.7015,0.67037,0.50488,1.07157,2.23614,0.81525,0.005545,0.005545,0.005545
47,3538.76,0.8949,0.40452,0.83314,0.55907,0.7225,0.66864,0.50169,1.05152,2.25539,0.81198,0.005446,0.005446,0.005446
48,3612.62,0.89251,0.39968,0.83217,0.50618,0.683,0.63341,0.48012,1.04099,2.33368,0.81289,0.005347,0.005347,0.005347
49,3688.72,0.88091,0.40242,0.82672,0.58089,0.813,0.74782,0.56011,1.0355,1.95085,0.81281,0.005248,0.005248,0.005248
50,3765.03,0.87741,0.39815,0.8304,0.47243,0.682,0.60811,0.46107,1.02219,2.38177,0.81075,0.005149,0.005149,0.005149
51,3841,0.8857,0.4001,0.82915,0.57043,0.748,0.70866,0.52609,1.05933,2.14615,0.81426,0.00505,0.00505,0.00505
52,3915.94,0.88035,0.39679,0.83061,0.59214,0.7335,0.71343,0.53414,1.05976,2.17339,0.8127,0.004951,0.004951,0.004951
53,3992.48,0.88262,0.39729,0.83507,0.56306,0.7215,0.68216,0.50948,1.04332,2.24532,0.81218,0.004852,0.004852,0.004852
54,4068.53,0.88325,0.39637,0.83344,0.54274,0.72,0.662,0.49665,1.02565,2.30682,0.81025,0.004753,0.004753,0.004753
55,4143.09,0.87741,0.39119,0.82429,0.58611,0.6875,0.67599,0.51192,1.04509,2.33245,0.81298,0.004654,0.004654,0.004654
56,4217.09,0.87572,0.39272,0.82782,0.5785,0.6955,0.67964,0.51681,1.01366,2.29796,0.80913,0.004555,0.004555,0.004555
57,4291.76,0.85749,0.39051,0.82845,0.54819,0.6815,0.66126,0.50575,1.01952,2.31416,0.81058,0.004456,0.004456,0.004456
