epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3742,1.93451,10.5802,0.8195,0.69048,0.37422,0.48356,0.16189,2.48911,2.55251,0.81849,0.000559552,0.000559552,0.000559552
2,50.642,1.78662,1.11715,0.82075,0.28472,0.1417,0.1457,0.06885,1.94734,2.62626,1.29444,0.00111956,0.00111956,0.00111956
3,75.8517,1.78457,0.90428,0.82563,0.00194,0.28,0.00168,0.00082,nan,nan,nan,0.00163397,0.00163397,0.00163397
4,101.15,1.77614,0.85453,0.82414,0.3637,0.3473,0.21382,0.10152,nan,nan,nan,0.00161746,0.00161746,0.00161746
5,126.555,1.69649,0.77151,0.82104,0.86796,0.68587,0.81219,0.42797,1.95719,1.13889,0.84001,0.00160095,0.00160095,0.00160095
6,151.704,1.60639,0.70488,0.79779,0.8574,0.74533,0.86037,0.42076,1.74792,0.82911,0.81861,0.00158444,0.00158444,0.00158444
7,177.001,1.54227,0.67406,0.78791,0.876,0.91071,0.95636,0.58631,1.66405,0.63431,0.77633,0.00156792,0.00156792,0.00156792
8,202.028,1.49493,0.65773,0.79396,0.8378,0.71568,0.86099,0.51693,1.69595,1.25338,0.79023,0.00155141,0.00155141,0.00155141
9,227.386,1.49185,0.64741,0.77953,0.95111,0.90089,0.96972,0.5292,1.66202,0.64089,0.7848,0.0015349,0.0015349,0.0015349
10,252.442,1.41374,0.61985,0.77371,0.85201,0.82128,0.91281,0.54965,1.53636,0.78575,0.77058,0.00151838,0.00151838,0.00151838
11,277.766,1.4215,0.60627,0.77215,0.91256,0.89603,0.94962,0.55413,1.64687,0.63147,0.77558,0.00150187,0.00150187,0.00150187
12,303.118,1.38496,0.59238,0.7698,0.92503,0.90574,0.97531,0.59403,1.55041,0.58843,0.77187,0.00148536,0.00148536,0.00148536
13,328.796,1.37241,0.59309,0.76694,0.91913,0.92122,0.9739,0.61258,1.68843,0.66539,0.77209,0.00146884,0.00146884,0.00146884
14,354.472,1.355,0.57026,0.76249,0.83924,0.8522,0.95006,0.61552,1.5045,0.65472,0.76473,0.00145233,0.00145233,0.00145233
15,380.264,1.34833,0.57007,0.75826,0.93446,0.98397,0.9869,0.67932,1.40352,0.53711,0.75769,0.00143582,0.00143582,0.00143582
16,406.286,1.31758,0.55199,0.75652,0.94332,0.97646,0.98937,0.66785,1.34649,0.53869,0.75685,0.00141931,0.00141931,0.00141931
17,431.628,1.28631,0.54217,0.76213,0.97207,0.96417,0.99164,0.67843,1.47487,0.53493,0.76414,0.00140279,0.00140279,0.00140279
18,457.613,1.30021,0.55078,0.75292,0.9347,0.92596,0.97987,0.64453,1.50057,0.54271,0.76475,0.00138628,0.00138628,0.00138628
19,483.286,1.26548,0.53842,0.74973,0.89792,0.91274,0.96623,0.59121,1.50517,0.57036,0.7656,0.00136977,0.00136977,0.00136977
20,509.558,1.26602,0.53146,0.75624,0.91815,0.93917,0.9797,0.61567,1.40805,0.53439,0.76522,0.00135325,0.00135325,0.00135325
21,535.55,1.25658,0.51661,0.74575,0.95491,0.94652,0.97998,0.61503,1.50344,0.53572,0.76808,0.00133674,0.00133674,0.00133674
22,564.55,1.24966,0.5186,0.75455,0.97522,0.98392,0.98741,0.63043,1.47147,0.52556,0.77328,0.00132023,0.00132023,0.00132023
23,598.542,1.2046,0.50595,0.74391,0.96317,0.98669,0.99005,0.68468,1.27469,0.54825,0.75524,0.00130371,0.00130371,0.00130371
24,630.09,1.20734,0.50534,0.7492,0.9619,0.97779,0.98841,0.65782,1.37455,0.49759,0.75793,0.0012872,0.0012872,0.0012872
25,655.891,1.21206,0.50906,0.74234,0.97953,0.98056,0.99114,0.69785,1.25029,0.46818,0.75026,0.00127069,0.00127069,0.00127069
26,681.981,1.18887,0.49707,0.74556,0.98158,0.98132,0.99156,0.66366,1.3762,0.46901,0.75061,0.00125418,0.00125418,0.00125418
